title,company,location,source,url,salary,scraped_at,job_id
Web Analyst in Teilzeit - (m/w/d),emagine,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/web-analyst-in-teilzeit-m-w-d-at-emagine-4280812274?position=20&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=7bBuoq40gmax24LmYjFGAA%3D%3D,Not specified,2025-08-08 15:01:18.009957,https://de.linkedin.com/jobs/view/web-analyst-in-teilzeit-m-w-d-at-emagine-4280812274?position=20&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=7bbuoq40gmax24lmyjfgaa%3d%3d
Nebenberufliche*n Lehrbeauftragte*r für das Modul Mathematik 1,Hochschule für Technik und Wirtschaft Berlin,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/nebenberufliche-n-lehrbeauftragte-r-f%C3%BCr-das-modul-mathematik-1-at-hochschule-f%C3%BCr-technik-und-wirtschaft-berlin-4281901015?position=21&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=7ncYilgiW8saNW3P9a%2FR0Q%3D%3D,Not specified,2025-08-08 15:01:18.009999,https://de.linkedin.com/jobs/view/nebenberufliche-n-lehrbeauftragte-r-f%c3%bcr-das-modul-mathematik-1-at-hochschule-f%c3%bcr-technik-und-wirtschaft-berlin-4281901015?position=21&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=7ncyilgiw8sanw3p9a%2fr0q%3d%3d
Senior Data Analyst - Data Platforms (m/f/d),Flatiron Health,Berlin Metropolitan Area,LinkedIn,https://de.linkedin.com/jobs/view/senior-data-analyst-data-platforms-m-f-d-at-flatiron-health-4268692100?position=22&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=ce3z4r01iq6xEpPtPkC95g%3D%3D,Not specified,2025-08-08 15:01:18.010041,https://de.linkedin.com/jobs/view/senior-data-analyst-data-platforms-m-f-d-at-flatiron-health-4268692100?position=22&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=ce3z4r01iq6xepptpkc95g%3d%3d
Senior Machine Learning Ops Engineer (w/m/d),BWI GmbH,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-machine-learning-ops-engineer-w-m-d-at-bwi-gmbh-4268637861?position=23&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=m2cRSmASt03XM7njPJO0mw%3D%3D,Not specified,2025-08-08 15:01:18.010083,https://de.linkedin.com/jobs/view/senior-machine-learning-ops-engineer-w-m-d-at-bwi-gmbh-4268637861?position=23&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=m2crsmast03xm7njpjo0mw%3d%3d
"Software Engineer, Data Infrastructure & Acquisition - Berlin, Germany",Speechify,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-engineer-data-infrastructure-acquisition-berlin-germany-at-speechify-4281927209?position=24&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=AdT73g7O%2BLKyb3HM6%2Fx73A%3D%3D,Not specified,2025-08-08 15:01:18.010125,https://de.linkedin.com/jobs/view/software-engineer-data-infrastructure-acquisition-berlin-germany-at-speechify-4281927209?position=24&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=adt73g7o%2blkyb3hm6%2fx73a%3d%3d
Product Analyst (m/f/d),GotPhoto.com | fotograf.de,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/product-analyst-m-f-d-at-gotphoto-com-fotograf-de-4282149390?position=25&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=bAULlRvlRAlSAW1b6f80Eg%3D%3D,Not specified,2025-08-08 15:01:18.010167,https://de.linkedin.com/jobs/view/product-analyst-m-f-d-at-gotphoto-com-fotograf-de-4282149390?position=25&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=baullrvlralsaw1b6f80eg%3d%3d
"Solutions Architect, GenAI",NVIDIA,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/solutions-architect-genai-at-nvidia-4282103098?position=26&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=hCiKmIeHy1qxeYSQhlyCyQ%3D%3D,Not specified,2025-08-08 15:01:18.010208,https://de.linkedin.com/jobs/view/solutions-architect-genai-at-nvidia-4282103098?position=26&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=hcikmiehy1qxeysqhlycyq%3d%3d
Senior Spezialist (m/w/d) – Meldewesen | Regulatorik | Data Science,Sparkassen Rating und Risikosysteme,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-spezialist-m-w-d-%E2%80%93-meldewesen-regulatorik-data-science-at-sparkassen-rating-und-risikosysteme-4281588764?position=27&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=w%2F0mL9qUwbEyUUPqZaRBYQ%3D%3D,Not specified,2025-08-08 15:01:18.010249,https://de.linkedin.com/jobs/view/senior-spezialist-m-w-d-%e2%80%93-meldewesen-regulatorik-data-science-at-sparkassen-rating-und-risikosysteme-4281588764?position=27&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=w%2f0ml9quwbeyuupqzarbyq%3d%3d
Senior Principal Computational Biologist (m/f/d) focus on multi-omics,Pfizer,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-principal-computational-biologist-m-f-d-focus-on-multi-omics-at-pfizer-4264345976?position=28&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=Oo5a07AVk9%2Fmqici6sE2nw%3D%3D,Not specified,2025-08-08 15:01:18.010289,https://de.linkedin.com/jobs/view/senior-principal-computational-biologist-m-f-d-focus-on-multi-omics-at-pfizer-4264345976?position=28&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=oo5a07avk9%2fmqici6se2nw%3d%3d
"Director Analyst, Master Data Management (MDM), Remote",Gartner,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/director-analyst-master-data-management-mdm-remote-at-gartner-4195478680?position=31&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=ZK797BmVJUoHQ%2FRYXZByhg%3D%3D,Not specified,2025-08-08 15:01:18.010410,https://de.linkedin.com/jobs/view/director-analyst-master-data-management-mdm-remote-at-gartner-4195478680?position=31&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=zk797bmvjuohq%2fryxzbyhg%3d%3d
Senior Staff Software Engineer - Delta,Databricks,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-staff-software-engineer-delta-at-databricks-4279821270?position=33&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=BX2vCfHCGbyMOAMsFNaS1A%3D%3D,Not specified,2025-08-08 15:01:18.010490,https://de.linkedin.com/jobs/view/senior-staff-software-engineer-delta-at-databricks-4279821270?position=33&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=bx2vcfhcgbymoamsfnas1a%3d%3d
Operations Monitoring Expert (f/m/d),E.ON Digital Technology,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/operations-monitoring-expert-f-m-d-at-e-on-digital-technology-4278845494?position=37&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=9hEd8qyIi%2BUyyJpQ%2FyIVAg%3D%3D,Not specified,2025-08-08 15:01:18.010651,https://de.linkedin.com/jobs/view/operations-monitoring-expert-f-m-d-at-e-on-digital-technology-4278845494?position=37&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=9hed8qyii%2buyyjpq%2fyivag%3d%3d
